"Spp","Long","Lat"
"Caiman latirostris",-41.110001,-19.389999
"Caiman latirostris",-51.1004186,-20.9837582
"Caiman latirostris",-51.1004181,-20.8171588
"Caiman latirostris",-48.5004058,-21.5837674
"Caiman latirostris",-50.9671204,-20.8671582
"Caiman latirostris",-57.182384,-28.583947
"Caiman latirostris",-54.447237,-25.688267
"Caiman latirostris",-54.447177,-25.688252
"Caiman latirostris",-59.887987,-29.979171
"Caiman latirostris",-54.45977,-25.630833
"Caiman latirostris",-40.260161,-20.258191
"Caiman latirostris",-35.011481,-8.503144
"Caiman latirostris",-35.011072,-8.502954
"Caiman latirostris",-57.199545,-28.546304
"Caiman latirostris",-40.258466,-20.258473
"Caiman latirostris",-35.010128,-8.502465
"Caiman latirostris",-57.188024,-28.566082
"Caiman latirostris",-59.26375,-28.500619
"Caiman latirostris",-35.010266,-8.502383
"Caiman latirostris",-51.629774,-21.571262
"Caiman latirostris",-42.771658,-22.452996
"Caiman latirostris",-41.971154,-18.870503
"Caiman latirostris",-35.010845,-8.502969
"Caiman latirostris",-54.447022,-25.68832
"Caiman latirostris",-57.194611,-28.546878
"Caiman latirostris",-60.801821,-32.433319
"Caiman latirostris",-57.400249,-27.447012
"Caiman latirostris",-60.227364,-29.40279
"Caiman latirostris",-40.486753,-20.269314
"Caiman latirostris",-57.206316,-28.539081
"Caiman latirostris",-48.510567,-27.597288
"Caiman latirostris",-57.171201,-28.522549
"Caiman latirostris",-54.446987,-25.688253
"Caiman latirostris",-48.497941,-21.262068
"Caiman latirostris",-35.259954,-7.266874
"Caiman latirostris",-56.00798,-20.097775
"Caiman latirostris",-47.524667,-22.405366
"Caiman latirostris",-53.728328,-29.722046
"Caiman latirostris",-64.666593,-23.746778
"Caiman latirostris",-60.634039,-32.121603
"Caiman latirostris",-47.523106,-22.413475
"Caiman latirostris",-47.524132,-22.373854
"Caiman latirostris",-40.071311,-19.150543
"Caiman latirostris",-60.165498,-29.214041
"Caiman latirostris",-47.522993,-22.413289
"Caiman latirostris",-54.439693,-25.697438
"Caiman latirostris",-43.03838,-22.950626
"Caiman latirostris",-48.869968,-28.62117
"Caiman latirostris",-35.206795,-7.246728
"Caiman latirostris",-43.037121,-22.951751
"Caiman latirostris",-43.038351,-22.950687
"Caiman latirostris",-63.485394,-21.385516
"Caiman latirostris",-57.209168,-28.544437
"Caiman latirostris",-57.316512,-30.593872
"Caiman latirostris",-61.191411,-30.18734
"Caiman latirostris",-43.423103,-23.012674
"Caiman latirostris",-61.191496,-30.187415
"Caiman latirostris",-53.728186,-29.722112
"Caiman latirostris",-52.61519,-32.737593
"Caiman latirostris",-40.071095,-19.150769
"Caiman latirostris",-35.408089,-5.824192
"Caiman latirostris",-57.614799,-30.210608
"Caiman latirostris",-34.953956,-8.019889
"Caiman latirostris",-58.260239,-31.86482
"Caiman latirostris",-58.283819,-31.888502
"Caiman latirostris",-42.772306,-22.450685
"Caiman latirostris",-54.447005,-25.688367
"Caiman latirostris",-34.94589,-8.012798
"Caiman latirostris",-54.450001,-25.66667
"Caiman latirostris",-53.817784,-25.460508
"Caiman latirostris",-48.507442,-27.580605
"Caiman latirostris",-50.157338,-30.006645
"Caiman latirostris",-60.661947,-28.455993
"Caiman latirostris",-43.371908,-22.998166
"Caiman latirostris",-60.66031,-28.456391
"Caiman latirostris",-54.446919,-25.688283
"Caiman latirostris",-60.661319,-28.45605
"Caiman latirostris",-60.66236,-28.455927
"Caiman latirostris",-58.233059,-31.868389
"Caiman latirostris",-57.166967,-28.538357
"Caiman latirostris",-60.221888,-28.559816
"Caiman latirostris",-54.448041,-25.689779
"Caiman latirostris",-57.220663,-28.551167
"Caiman latirostris",-44.163127,-23.174055
"Caiman latirostris",-40.259107,-20.259205
"Caiman latirostris",-45.960785,-22.214936
"Caiman latirostris",-35.20041,-8.09512
"Caiman latirostris",-57.213421,-28.553123
"Caiman latirostris",-50.159419,-30.003958
"Caiman latirostris",-54.172291,-25.856412
"Caiman latirostris",-57.211331,-28.550631
"Caiman latirostris",-56.697903,-28.054696
"Caiman latirostris",-56.699,-28.056
"Caiman latirostris",-61.191494,-30.187257
