"Spp","Long","Lat"
"Caiman yacare",-57.19012,-28.5425
"Caiman yacare",-57.20375,-28.527775
"Caiman yacare",-57.182407,-28.539658
"Caiman yacare",-55.957678,-20.126186
"Caiman yacare",-55.961125,-20.084003
"Caiman yacare",-58.229486,-28.047398
"Caiman yacare",-57.178118,-28.567889
"Caiman yacare",-57.189231,-28.537035
"Caiman yacare",-56.671352,-16.409728
"Caiman yacare",-56.849305,-16.815728
"Caiman yacare",-56.765326,-17.358167
"Caiman yacare",-57.201121,-28.541804
"Caiman yacare",-59.59,-29.285888
"Caiman yacare",-56.846633,-16.763709
"Caiman yacare",-57.20365,-28.545366
"Caiman yacare",-57.205405,-28.53816
"Caiman yacare",-56.866711,-27.82701
"Caiman yacare",-57.17207,-28.569889
"Caiman yacare",-56.87447,-27.825796
"Caiman yacare",-56.866711,-27.818937
"Caiman yacare",-57.096709,-28.542142
"Caiman yacare",-59.227548,-28.525088
"Caiman yacare",-56.67504,-16.504574
"Caiman yacare",-59.260668,-28.501253
"Caiman yacare",-56.866,-27.832
"Caiman yacare",-59.228031,-28.526175
"Caiman yacare",-56.890127,-27.819543
"Caiman yacare",-56.670005,-16.425668
"Caiman yacare",-56.869457,-27.821366
"Caiman yacare",-56.866,-27.833
"Caiman yacare",-55.754302,-19.051335
"Caiman yacare",-56.907179,-27.862795
"Caiman yacare",-57.366603,-25.501405
"Caiman yacare",-56.34317,-16.496084
"Caiman yacare",-59.398384,-28.753054
"Caiman yacare",-56.496806,-27.567001
"Caiman yacare",-57.406735,-28.389593
"Caiman yacare",-57.176259,-28.57662
"Caiman yacare",-56.688672,-17.275539
"Caiman yacare",-56.575225,-20.225126
"Caiman yacare",-57.79223,-19.92034
"Caiman yacare",-56.567124,-20.225987
"Caiman yacare",-56.588079,-20.223743
"Caiman yacare",-63.069507,-17.765928
"Caiman yacare",-56.881786,-27.854907
"Caiman yacare",-57.618455,-19.029536
"Caiman yacare",-56.866073,-16.74904
"Caiman yacare",-56.614537,-20.086973
"Caiman yacare",-55.856873,-20.445123
"Caiman yacare",-56.709304,-17.318089
"Caiman yacare",-56.740132,-17.325253
"Caiman yacare",-56.772478,-16.60219
"Caiman yacare",-56.671067,-16.427597
"Caiman yacare",-57.240491,-28.540296
"Caiman yacare",-56.620542,-16.378957
"Caiman yacare",-56.633495,-20.092182
"Caiman yacare",-58.06195,-28.019907
"Caiman yacare",-57.383413,-17.716639
"Caiman yacare",-56.857327,-16.748608
"Caiman yacare",-57.364682,-25.507995
"Caiman yacare",-57.734694,-21.652773
"Caiman yacare",-57.737466,-21.61852
"Caiman yacare",-57.202418,-28.52688
"Caiman yacare",-56.679469,-16.428458
"Caiman yacare",-56.609139,-28.905086
"Caiman yacare",-57.186035,-28.540516
"Caiman yacare",-57.196849,-28.546096
"Caiman yacare",-57.185606,-28.540064
"Caiman yacare",-56.857808,-16.748006
"Caiman yacare",-56.857439,-16.748097
"Caiman yacare",-56.679469,-16.429117
"Caiman yacare",-57.383413,-17.71664
"Caiman yacare",-56.670055,-16.425645
"Caiman yacare",-56.857686,-16.748247
"Caiman yacare",-56.678096,-16.4278
"Caiman yacare",-56.749501,-16.512038
"Caiman yacare",-56.671352,-16.426498
"Caiman yacare",-56.675491,-16.426482
"Caiman yacare",-56.678782,-16.427141
"Caiman yacare",-56.719119,-17.308641
"Caiman yacare",-56.965152,-16.695348
"Caiman yacare",-56.613833,-20.088186
"Caiman yacare",-57.199545,-28.546304
"Caiman yacare",-57.194824,-28.546095
"Caiman yacare",-57.197927,-28.524609
"Caiman yacare",-57.205309,-28.536538
"Caiman yacare",-56.652806,-17.241944
"Caiman yacare",-57.178332,-28.581449
"Caiman yacare",-56.653222,-17.244472
"Caiman yacare",-56.687639,-17.275889
"Caiman yacare",-56.688917,-17.275361
"Caiman yacare",-56.856889,-16.748583
"Caiman yacare",-59.25146,-28.499781
"Caiman yacare",-59.24767,-28.499093
"Caiman yacare",-59.242802,-28.499684
"Caiman yacare",-59.145556,-28.5175
"Caiman yacare",-56.780223,-17.349441
"Caiman yacare",-56.768759,-16.645441
"Caiman yacare",-56.913515,-27.865728
"Caiman yacare",-57.200455,-28.507174
"Caiman yacare",-56.652884,-17.245404
"Caiman yacare",-57.194981,-28.546351
"Caiman yacare",-63.583333,-15.316667
"Caiman yacare",-57.528318,-28.623446
"Caiman yacare",-57.206594,-28.536393
"Caiman yacare",-57.185685,-28.570632
"Caiman yacare",-57.173456,-28.536053
"Caiman yacare",-57.17228,-28.555857
"Caiman yacare",-57.179546,-28.582864
"Caiman yacare",-56.670746,-16.409692
"Caiman yacare",-57.172236,-28.568042
"Caiman yacare",-56.8575,-16.748111
"Caiman yacare",-57.194081,-28.552238
"Caiman yacare",-57.173781,-28.551777
"Caiman yacare",-57.192723,-28.547413
"Caiman yacare",-56.942,-17.106222
"Caiman yacare",-56.857517,-16.748335
"Caiman yacare",-57.194888,-28.546033
"Caiman yacare",-57.528408,-28.623535
"Caiman yacare",-56.611425,-20.107505
"Caiman yacare",-57.528469,-28.623433
"Caiman yacare",-56.734825,-16.619675
"Caiman yacare",-56.575578,-20.225512
"Caiman yacare",-66.099081,-11.032249
"Caiman yacare",-56.771523,-16.639853
"Caiman yacare",-56.744873,-16.504042
"Caiman yacare",-56.153908,-19.578781
"Caiman yacare",-57.190663,-28.557483
"Caiman yacare",-57.19469,-28.752698
"Caiman yacare",-56.988511,-19.716962
"Caiman yacare",-56.70957,-16.5088
"Caiman yacare",-59.146157,-28.517103
"Caiman yacare",-63.684206,-13.71139
"Caiman yacare",-56.712069,-16.512644
"Caiman yacare",-56.702996,-16.587483
"Caiman yacare",-63.069943,-17.766299
"Caiman yacare",-57.20031,-28.550379
"Caiman yacare",-56.670406,-16.408569
"Caiman yacare",-56.699139,-16.516256
"Caiman yacare",-63.069095,-17.765648
"Caiman yacare",-56.871157,-16.755595
"Caiman yacare",-56.884725,-27.904165
"Caiman yacare",-56.66985,-16.434101
"Caiman yacare",-56.667571,-16.304551
"Caiman yacare",-57.196584,-28.546188
"Caiman yacare",-56.250719,-19.890011
"Caiman yacare",-57.199311,-28.547198
"Caiman yacare",-57.200921,-28.539521
"Caiman yacare",-56.8507,-27.725132
"Caiman yacare",-56.287178,-19.846924
"Caiman yacare",-57.209168,-28.544437
"Caiman yacare",-56.288054,-19.846945
"Caiman yacare",-56.927862,-17.147824
"Caiman yacare",-56.674705,-16.504389
"Caiman yacare",-56.735145,-16.620674
"Caiman yacare",-56.677942,-16.502971
"Caiman yacare",-57.410414,-19.405507
"Caiman yacare",-56.669356,-17.263236
"Caiman yacare",-56.845579,-16.816397
"Caiman yacare",-56.676792,-17.277036
"Caiman yacare",-66.099594,-11.02815
"Caiman yacare",-56.679565,-16.50219
"Caiman yacare",-56.92916,-17.11743
"Caiman yacare",-56.682095,-16.498751
"Caiman yacare",-56.846514,-16.81812
"Caiman yacare",-56.812536,-17.448691
"Caiman yacare",-57.096818,-28.54221
"Caiman yacare",-57.197746,-28.543743
"Caiman yacare",-56.680485,-16.472311
"Caiman yacare",-56.857832,-16.748285
"Caiman yacare",-56.259065,-17.225916
"Caiman yacare",-56.877017,-16.75771
"Caiman yacare",-56.88098,-16.757793
"Caiman yacare",-56.888601,-27.907383
"Caiman yacare",-56.749208,-16.512056
"Caiman yacare",-56.866897,-16.745317
"Caiman yacare",-57.166967,-28.538357
"Caiman yacare",-56.876105,-16.75725
"Caiman yacare",-56.749348,-16.511635
"Caiman yacare",-56.703971,-17.23662
"Caiman yacare",-56.007955,-20.097778
"Caiman yacare",-56.710098,-17.28144
"Caiman yacare",-57.569617,-25.253843
"Caiman yacare",-57.091128,-28.546
"Caiman yacare",-56.709988,-17.28141
"Caiman yacare",-57.090805,-28.546172
"Caiman yacare",-56.689496,-16.473633
"Caiman yacare",-56.675132,-16.504615
"Caiman yacare",-56.862414,-27.833364
"Caiman yacare",-56.039846,-20.213472
"Caiman yacare",-56.184365,-20.593277
"Caiman yacare",-56.875538,-16.745583
"Caiman yacare",-58.908835,-27.609785
"Caiman yacare",-57.195611,-28.546851
"Caiman yacare",-57.209878,-28.549802
"Caiman yacare",-56.740495,-16.503092
"Caiman yacare",-56.711559,-16.512083
"Caiman yacare",-57.212988,-28.548443
"Caiman yacare",-56.740455,-16.503
"Caiman yacare",-58.908755,-27.609833
"Caiman yacare",-57.186845,-28.538201
"Caiman yacare",-57.218115,-28.551541
"Caiman yacare",-57.195439,-28.545312
"Caiman yacare",-56.628115,-16.264502
"Caiman yacare",-56.686847,-28.09385
"Caiman yacare",-57.194633,-28.546557
"Caiman yacare",-57.372254,-28.3326
"Caiman yacare",-57.21497,-28.550145
"Caiman yacare",-57.178925,-28.58895
"Caiman yacare",-56.698,-28.055
"Caiman yacare",-56.69,-28.051
"Caiman yacare",-56.38338,-16.568987
"Caiman yacare",-63.188633,-15.896988
"Caiman yacare",-56.687044,-28.093638
"Caiman yacare",-56.043486,-20.403203
"Caiman yacare",-55.615453,-20.180067
"Caiman yacare",-57.195337,-28.545838
"Caiman yacare",-57.174939,-28.576109
"Caiman yacare",-56.808037,-16.569905
"Caiman yacare",-56.745465,-16.503098
